,8-9-2026
name,London
region,"City of London, Greater London"
country,United Kingdom
lat,51.5171
lon,-0.1062
tz_id,Europe/London
localtime_epoch,1788884201
localtime,2026-09-08 17:16
last_updated_epoch,1788883200
last_updated,2026-09-08 17:00
temp_c,16.9
temp_f,62.5
is_day,1
condition,"{'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}"
wind_mph,8.1
wind_kph,13.0
wind_degree,295
wind_dir,WNW
pressure_mb,1007.0
pressure_in,29.73
precip_mm,0.49
precip_in,0.02
humidity,63
cloud,77
feelslike_c,14.5
feelslike_f,58.1
windchill_c,16.9
windchill_f,62.5
heatindex_c,16.9
heatindex_f,62.5
dewpoint_c,9.9
dewpoint_f,49.9
vis_km,10.0
vis_miles,6.0
uv,1.0
gust_mph,21.7
gust_kph,35.0
will_it_rain,0
chance_of_rain,37
will_it_snow,0
chance_of_snow,0
wetbulb_c,12.9
wetbulb_f,55.3
air_quality,"{'co': 170.0, 'no2': 8.7, 'o3': 78.0, 'so2': 0.6000000000000001, 'pm2_5': 3.4, 'pm10': 6.7, 'us-epa-index': 1, 'gb-defra-index': 1}"
