,2025-04-21 16:07
name,London
region,"City of London, Greater London"
country,United Kingdom
lat,51.5171
lon,-0.1062
tz_id,Europe/London
localtime_epoch,1745248070
localtime,2025-04-21 16:07
last_updated_epoch,1745247600
last_updated,2025-04-21 16:00
temp_c,15.1
temp_f,59.2
is_day,1
condition,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}"
wind_mph,10.1
wind_kph,16.2
wind_degree,272
wind_dir,W
pressure_mb,1010.0
pressure_in,29.83
precip_mm,0.08
precip_in,0.0
humidity,63
cloud,50
feelslike_c,15.1
feelslike_f,59.2
windchill_c,12.2
windchill_f,54.0
heatindex_c,13.6
heatindex_f,56.4
dewpoint_c,9.7
dewpoint_f,49.5
vis_km,10.0
vis_miles,6.0
uv,1.9
gust_mph,12.9
gust_kph,20.7
air_quality,"{'co': 331.15, 'no2': 24.235, 'o3': 76.0, 'so2': 2.775, 'pm2_5': 19.61, 'pm10': 22.57, 'us-epa-index': 2, 'gb-defra-index': 2}"
