,22-8-2026
name,London
region,"City of London, Greater London"
country,United Kingdom
lat,51.5171
lon,-0.1062
tz_id,Europe/London
localtime_epoch,1787402612
localtime,2026-08-22 13:43
last_updated_epoch,1787401800
last_updated,2026-08-22 13:30
temp_c,20.2
temp_f,68.4
is_day,1
condition,"{'text': 'Partly Cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}"
wind_mph,8.5
wind_kph,13.7
wind_degree,10
wind_dir,N
pressure_mb,1022.0
pressure_in,30.19
precip_mm,0.0
precip_in,0.0
humidity,35
cloud,39
feelslike_c,16.3
feelslike_f,61.3
windchill_c,20.2
windchill_f,68.4
heatindex_c,20.2
heatindex_f,68.4
dewpoint_c,4.4
dewpoint_f,40.0
vis_km,10.0
vis_miles,6.0
uv,4.6
gust_mph,10.6
gust_kph,17.0
will_it_rain,0
chance_of_rain,3
will_it_snow,0
chance_of_snow,0
wetbulb_c,12.0
wetbulb_f,53.5
air_quality,"{'co': 170.0, 'no2': 4.5, 'o3': 79.0, 'so2': 0.5, 'pm2_5': 4.7, 'pm10': 8.4, 'us-epa-index': 1, 'gb-defra-index': 1}"
