,15-8-2026
name,London
region,"City of London, Greater London"
country,United Kingdom
lat,51.5171
lon,-0.1062
tz_id,Europe/London
localtime_epoch,1786797739
localtime,2026-08-15 13:42
last_updated_epoch,1786797000
last_updated,2026-08-15 13:30
temp_c,24.9
temp_f,76.8
is_day,1
condition,"{'text': 'Cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/119.png', 'code': 1006}"
wind_mph,12.1
wind_kph,19.4
wind_degree,346
wind_dir,NNW
pressure_mb,1016.0
pressure_in,30.0
precip_mm,0.0
precip_in,0.0
humidity,52
cloud,82
feelslike_c,22.5
feelslike_f,72.5
windchill_c,24.9
windchill_f,76.8
heatindex_c,25.8
heatindex_f,78.5
dewpoint_c,14.4
dewpoint_f,57.8
vis_km,10.0
vis_miles,6.0
uv,4.4
gust_mph,13.9
gust_kph,22.4
will_it_rain,0
chance_of_rain,9
will_it_snow,0
chance_of_snow,0
wetbulb_c,18.2
wetbulb_f,64.7
air_quality,"{'co': 141.0, 'no2': 5.8, 'o3': 62.0, 'so2': 0.5, 'pm2_5': 4.9, 'pm10': 6.7, 'us-epa-index': 1, 'gb-defra-index': 1}"
