,12-8-2026
name,London
region,"City of London, Greater London"
country,United Kingdom
lat,51.5171
lon,-0.1062
tz_id,Europe/London
localtime_epoch,1786546287
localtime,2026-08-12 15:51
last_updated_epoch,1786545000
last_updated,2026-08-12 15:30
temp_c,32.2
temp_f,89.9
is_day,1
condition,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}"
wind_mph,8.9
wind_kph,14.4
wind_degree,88
wind_dir,E
pressure_mb,1021.0
pressure_in,30.16
precip_mm,0.0
precip_in,0.0
humidity,19
cloud,3
feelslike_c,28.3
feelslike_f,82.9
windchill_c,32.2
windchill_f,89.9
heatindex_c,29.9
heatindex_f,85.9
dewpoint_c,5.4
dewpoint_f,41.7
vis_km,10.0
vis_miles,6.0
uv,4.8
gust_mph,10.3
gust_kph,16.6
will_it_rain,0
chance_of_rain,0
will_it_snow,0
chance_of_snow,0
wetbulb_c,16.9
wetbulb_f,62.4
air_quality,"{'co': 188.0, 'no2': 12.8, 'o3': 114.0, 'so2': 2.3, 'pm2_5': 7.7, 'pm10': 12.7, 'us-epa-index': 1, 'gb-defra-index': 1}"
