,20-8-2026
name,London
region,"City of London, Greater London"
country,United Kingdom
lat,51.5171
lon,-0.1062
tz_id,Europe/London
localtime_epoch,1787230469
localtime,2026-08-20 13:54
last_updated_epoch,1787229900
last_updated,2026-08-20 13:45
temp_c,21.6
temp_f,70.8
is_day,1
condition,"{'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/day/176.png', 'code': 1063}"
wind_mph,13.2
wind_kph,21.2
wind_degree,259
wind_dir,W
pressure_mb,1005.0
pressure_in,29.67
precip_mm,0.01
precip_in,0.0
humidity,42
cloud,100
feelslike_c,17.0
feelslike_f,62.6
windchill_c,21.6
windchill_f,70.8
heatindex_c,24.1
heatindex_f,75.3
dewpoint_c,8.3
dewpoint_f,47.0
vis_km,10.0
vis_miles,6.0
uv,2.4
gust_mph,16.8
gust_kph,27.0
will_it_rain,0
chance_of_rain,11
will_it_snow,0
chance_of_snow,0
wetbulb_c,14.0
wetbulb_f,57.2
air_quality,"{'co': 152.0, 'no2': 8.4, 'o3': 54.0, 'so2': 0.6000000000000001, 'pm2_5': 2.8, 'pm10': 5.8, 'us-epa-index': 1, 'gb-defra-index': 1}"
