,16-8-2026
name,London
region,"City of London, Greater London"
country,United Kingdom
lat,51.5171
lon,-0.1062
tz_id,Europe/London
localtime_epoch,1786884243
localtime,2026-08-16 13:44
last_updated_epoch,1786883400
last_updated,2026-08-16 13:30
temp_c,22.8
temp_f,73.0
is_day,1
condition,"{'text': 'Partly Cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}"
wind_mph,4.0
wind_kph,6.5
wind_degree,314
wind_dir,NW
pressure_mb,1018.0
pressure_in,30.06
precip_mm,0.0
precip_in,0.0
humidity,39
cloud,50
feelslike_c,21.1
feelslike_f,70.0
windchill_c,22.8
windchill_f,73.0
heatindex_c,24.2
heatindex_f,75.5
dewpoint_c,8.0
dewpoint_f,46.4
vis_km,10.0
vis_miles,6.0
uv,3.9
gust_mph,4.6
gust_kph,7.5
will_it_rain,0
chance_of_rain,4
will_it_snow,0
chance_of_snow,0
wetbulb_c,14.4
wetbulb_f,57.9
air_quality,"{'co': 153.0, 'no2': 5.6, 'o3': 80.0, 'so2': 0.9, 'pm2_5': 5.4, 'pm10': 8.5, 'us-epa-index': 1, 'gb-defra-index': 1}"
