,13-8-2026
name,London
region,"City of London, Greater London"
country,United Kingdom
lat,51.5171
lon,-0.1062
tz_id,Europe/London
localtime_epoch,1786627100
localtime,2026-08-13 14:18
last_updated_epoch,1786626000
last_updated,2026-08-13 14:00
temp_c,36.7
temp_f,98.1
is_day,1
condition,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}"
wind_mph,5.8
wind_kph,9.4
wind_degree,72
wind_dir,ENE
pressure_mb,1018.0
pressure_in,30.05
precip_mm,0.0
precip_in,0.0
humidity,14
cloud,12
feelslike_c,33.8
feelslike_f,92.8
windchill_c,36.7
windchill_f,98.1
heatindex_c,35.3
heatindex_f,95.6
dewpoint_c,5.2
dewpoint_f,41.4
vis_km,10.0
vis_miles,6.0
uv,5.8
gust_mph,6.7
gust_kph,10.8
will_it_rain,0
chance_of_rain,1
will_it_snow,0
chance_of_snow,0
wetbulb_c,18.4
wetbulb_f,65.1
air_quality,"{'co': 175.0, 'no2': 11.9, 'o3': 134.0, 'so2': 1.7000000000000002, 'pm2_5': 7.4, 'pm10': 13.9, 'us-epa-index': 1, 'gb-defra-index': 1}"
