,14-8-2026
name,London
region,"City of London, Greater London"
country,United Kingdom
lat,51.5171
lon,-0.1062
tz_id,Europe/London
localtime_epoch,1786713167
localtime,2026-08-14 14:12
last_updated_epoch,1786712400
last_updated,2026-08-14 14:00
temp_c,33.0
temp_f,91.5
is_day,1
condition,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}"
wind_mph,5.1
wind_kph,8.3
wind_degree,267
wind_dir,W
pressure_mb,1015.0
pressure_in,29.98
precip_mm,0.0
precip_in,0.0
humidity,26
cloud,1
feelslike_c,31.7
feelslike_f,89.1
windchill_c,33.0
windchill_f,91.5
heatindex_c,31.8
heatindex_f,89.3
dewpoint_c,10.9
dewpoint_f,51.5
vis_km,10.0
vis_miles,6.0
uv,5.4
gust_mph,5.9
gust_kph,9.5
will_it_rain,0
chance_of_rain,0
will_it_snow,0
chance_of_snow,0
wetbulb_c,19.2
wetbulb_f,66.6
air_quality,"{'co': 142.0, 'no2': 7.4, 'o3': 89.0, 'so2': 0.7000000000000001, 'pm2_5': 5.6, 'pm10': 8.5, 'us-epa-index': 1, 'gb-defra-index': 1}"
