,2025-05-19 14:17
name,London
region,"City of London, Greater London"
country,United Kingdom
lat,51.5171
lon,-0.1062
tz_id,Europe/London
localtime_epoch,1747660621
localtime,2025-05-19 14:17
last_updated_epoch,1747660500
last_updated,2025-05-19 14:15
temp_c,18.1
temp_f,64.6
is_day,1
condition,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}"
wind_mph,12.3
wind_kph,19.8
wind_degree,92
wind_dir,E
pressure_mb,1020.0
pressure_in,30.12
precip_mm,0.0
precip_in,0.0
humidity,52
cloud,75
feelslike_c,18.1
feelslike_f,64.6
windchill_c,19.1
windchill_f,66.4
heatindex_c,19.1
heatindex_f,66.4
dewpoint_c,2.8
dewpoint_f,37.0
vis_km,10.0
vis_miles,6.0
uv,4.4
gust_mph,14.2
gust_kph,22.8
air_quality,"{'co': 247.9, 'no2': 11.47, 'o3': 96.0, 'so2': 2.035, 'pm2_5': 8.325, 'pm10': 11.84, 'us-epa-index': 1, 'gb-defra-index': 1}"
