,28-8-2026
name,London
region,"City of London, Greater London"
country,United Kingdom
lat,51.5171
lon,-0.1062
tz_id,Europe/London
localtime_epoch,1787953997
localtime,2026-08-28 22:53
last_updated_epoch,1787953500
last_updated,2026-08-28 22:45
temp_c,18.3
temp_f,64.9
is_day,0
condition,"{'text': 'Partly Cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/night/116.png', 'code': 1003}"
wind_mph,13.0
wind_kph,20.9
wind_degree,230
wind_dir,SW
pressure_mb,1008.0
pressure_in,29.77
precip_mm,0.0
precip_in,0.0
humidity,71
cloud,30
feelslike_c,15.1
feelslike_f,59.2
windchill_c,18.3
windchill_f,64.9
heatindex_c,18.3
heatindex_f,64.9
dewpoint_c,12.9
dewpoint_f,55.1
vis_km,10.0
vis_miles,6.0
uv,0.0
gust_mph,22.9
gust_kph,36.9
will_it_rain,0
chance_of_rain,8
will_it_snow,0
chance_of_snow,0
wetbulb_c,15.0
wetbulb_f,58.9
air_quality,"{'co': 163.0, 'no2': 15.2, 'o3': 63.0, 'so2': 1.2, 'pm2_5': 3.5, 'pm10': 6.8, 'us-epa-index': 1, 'gb-defra-index': 1}"
