,23-8-2026
name,London
region,"City of London, Greater London"
country,United Kingdom
lat,51.5171
lon,-0.1062
tz_id,Europe/London
localtime_epoch,1787489074
localtime,2026-08-23 13:44
last_updated_epoch,1787488200
last_updated,2026-08-23 13:30
temp_c,22.4
temp_f,72.3
is_day,1
condition,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}"
wind_mph,3.4
wind_kph,5.4
wind_degree,18
wind_dir,NNE
pressure_mb,1025.0
pressure_in,30.28
precip_mm,0.0
precip_in,0.0
humidity,35
cloud,0
feelslike_c,20.5
feelslike_f,68.9
windchill_c,22.4
windchill_f,72.3
heatindex_c,23.8
heatindex_f,74.9
dewpoint_c,6.3
dewpoint_f,43.3
vis_km,10.0
vis_miles,6.0
uv,4.6
gust_mph,3.4
gust_kph,5.4
will_it_rain,0
chance_of_rain,1
will_it_snow,0
chance_of_snow,0
wetbulb_c,13.5
wetbulb_f,56.4
air_quality,"{'co': 187.0, 'no2': 9.5, 'o3': 77.0, 'so2': 0.9, 'pm2_5': 5.6, 'pm10': 11.4, 'us-epa-index': 1, 'gb-defra-index': 1}"
