,31-8-2026
name,London
region,"City of London, Greater London"
country,United Kingdom
lat,51.5171
lon,-0.1062
tz_id,Europe/London
localtime_epoch,1788202590
localtime,2026-08-31 19:56
last_updated_epoch,1788201900
last_updated,2026-08-31 19:45
temp_c,18.6
temp_f,65.4
is_day,1
condition,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}"
wind_mph,10.7
wind_kph,17.3
wind_degree,288
wind_dir,WNW
pressure_mb,1017.0
pressure_in,30.02
precip_mm,0.0
precip_in,0.0
humidity,57
cloud,100
feelslike_c,15.2
feelslike_f,59.4
windchill_c,18.5
windchill_f,65.4
heatindex_c,18.5
heatindex_f,65.4
dewpoint_c,9.9
dewpoint_f,49.9
vis_km,10.0
vis_miles,6.0
uv,0.1
gust_mph,15.5
gust_kph,24.9
will_it_rain,0
chance_of_rain,14
will_it_snow,0
chance_of_snow,0
wetbulb_c,13.6
wetbulb_f,56.4
air_quality,"{'co': 165.0, 'no2': 10.1, 'o3': 65.0, 'so2': 0.6000000000000001, 'pm2_5': 3.3, 'pm10': 5.8, 'us-epa-index': 1, 'gb-defra-index': 1}"
