,27-8-2026
name,London
region,"City of London, Greater London"
country,United Kingdom
lat,51.5171
lon,-0.1062
tz_id,Europe/London
localtime_epoch,1787867921
localtime,2026-08-27 22:58
last_updated_epoch,1787867100
last_updated,2026-08-27 22:45
temp_c,18.6
temp_f,65.4
is_day,0
condition,"{'text': 'Patchy rain nearby', 'icon': '//cdn.weatherapi.com/weather/64x64/night/176.png', 'code': 1063}"
wind_mph,7.8
wind_kph,12.6
wind_degree,211
wind_dir,SSW
pressure_mb,1008.0
pressure_in,29.76
precip_mm,0.02
precip_in,0.0
humidity,78
cloud,100
feelslike_c,17.7
feelslike_f,63.9
windchill_c,18.6
windchill_f,65.4
heatindex_c,18.6
heatindex_f,65.4
dewpoint_c,14.7
dewpoint_f,58.5
vis_km,10.0
vis_miles,6.0
uv,0.0
gust_mph,20.8
gust_kph,33.5
will_it_rain,0
chance_of_rain,24
will_it_snow,0
chance_of_snow,0
wetbulb_c,16.1
wetbulb_f,61.1
air_quality,"{'co': 153.0, 'no2': 18.2, 'o3': 59.0, 'so2': 1.0, 'pm2_5': 3.7, 'pm10': 8.2, 'us-epa-index': 1, 'gb-defra-index': 1}"
