,21-8-2026
name,London
region,"City of London, Greater London"
country,United Kingdom
lat,51.5171
lon,-0.1062
tz_id,Europe/London
localtime_epoch,1787316804
localtime,2026-08-21 13:53
last_updated_epoch,1787316300
last_updated,2026-08-21 13:45
temp_c,20.5
temp_f,68.9
is_day,1
condition,"{'text': 'Partly Cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}"
wind_mph,7.4
wind_kph,11.9
wind_degree,355
wind_dir,N
pressure_mb,1014.0
pressure_in,29.93
precip_mm,0.0
precip_in,0.0
humidity,35
cloud,32
feelslike_c,17.0
feelslike_f,62.6
windchill_c,20.5
windchill_f,68.9
heatindex_c,20.5
heatindex_f,68.9
dewpoint_c,4.7
dewpoint_f,40.5
vis_km,10.0
vis_miles,6.0
uv,5.0
gust_mph,8.5
gust_kph,13.8
will_it_rain,0
chance_of_rain,2
will_it_snow,0
chance_of_snow,0
wetbulb_c,12.1
wetbulb_f,53.8
air_quality,"{'co': 162.0, 'no2': 5.4, 'o3': 71.0, 'so2': 0.6000000000000001, 'pm2_5': 3.2, 'pm10': 5.2, 'us-epa-index': 1, 'gb-defra-index': 1}"
