,country,year,value,category,region,directions,capitals,official_language
16,Australia,1998,334328.142646602,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Australia,South,Canberra,English
17,Australia,1997,320439.116819391,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Australia,South,Canberra,English
18,Australia,1996,311914.819824229,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Australia,South,Canberra,English
19,Australia,1995,305162.543548735,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Australia,South,Canberra,English
20,Australia,1994,293830.709141192,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Australia,South,Canberra,English
21,Australia,1993,289142.267681326,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Australia,South,Canberra,English
22,Australia,1992,284766.092717838,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Australia,South,Canberra,English
23,Australia,1991,279741.639011863,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Australia,South,Canberra,English
24,Australia,1990,278265.898940768,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Australia,South,Canberra,English
25,Austria,2014,64262.5639931315,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
26,Austria,2013,67957.1211123863,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
27,Austria,2012,67698.6586349119,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
28,Austria,2011,70327.1670444138,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
29,Austria,2010,72531.826129136,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
30,Austria,2009,67682.7251493548,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
31,Austria,2008,74066.2557920763,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
32,Austria,2007,74268.1107226333,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,Europe,West,Vienna,German
